feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4,val_imp_5,val_imp_6,val_imp_7,val_imp_8,val_imp_9
EXT_SOURCE_3,0.027424062194226263,0.0006342351019951947,0.027622931482433,0.02761915954106342,0.02761091777281588,0.026570752764175865,0.027719897354429257,0.025965557412435114,0.027761339672560115,0.028310609163958445,0.027679846226010052,0.027379610552381473
EXT_SOURCE_2,0.020805192065248147,0.0005863757581796266,0.019894919635204733,0.021700853898212635,0.021009676608466532,0.020444836278397105,0.021195177732626025,0.02085457023920667,0.021743538598471668,0.020399161173518365,0.020644434757698615,0.02016475173067911
EXT_SOURCE_1,0.014509283022164688,0.0002849827188836333,0.01440967528107584,0.014564718699807133,0.014231617420616738,0.014775644371641805,0.014529032706955824,0.015042198628007819,0.014170243709552,0.014088456550428341,0.01478235869876432,0.014498884154797054
AMT_GOODS_PRICE,0.012034168793488887,0.0004142662217958278,0.012668970152065473,0.012156222826576135,0.012405590231243324,0.011491964777781138,0.011258538788481265,0.012223519147335216,0.012447683094727768,0.011894067980728895,0.011875687614158359,0.01191944332179129
PREV_APP_CNT_PAYMENT,0.010285324161146126,0.0006054695968880541,0.010396594700833539,0.00958654475518017,0.01060230871368617,0.010703211793399059,0.010802710109162339,0.010760441628974493,0.01072705188814993,0.008841541539701847,0.009984471334789302,0.010448365147584404
AMT_ANNUITY,0.010162166118318827,0.00022284448496321527,0.010506949183073155,0.01041632281955407,0.010420294811255504,0.010079475899080093,0.00996688540049473,0.009962632931101778,0.010119092312529165,0.009786082998800794,0.010088069240090536,0.010275855587208449
CODE_GENDER,0.009898544847545977,0.00032829368524048177,0.010005264861510765,0.010339006166020348,0.009594156848464985,0.010088605931523387,0.009729866140732124,0.010148419283936061,0.009362672823581386,0.00953874222785911,0.009803637203314008,0.010375076988517584
AMT_CREDIT,0.009014777253936956,0.00020634020283064142,0.009103633265342914,0.009057491376356586,0.008960477824849655,0.009541170489349882,0.00891146159097822,0.00895962519302862,0.008672199527750668,0.008952987560350345,0.008982577193261676,0.009006148518100998
NAME_EDUCATION_TYPE,0.00752815136816668,0.00019570810148837343,0.00755198079017283,0.007406812120514195,0.007541053358947392,0.007843155320615747,0.0074768592605931605,0.007282377759963765,0.0072299722085548135,0.007862242904983163,0.007497188378698949,0.007589871578622787
DAYS_EMPLOYED,0.007139782087107982,0.00033523712333405315,0.006968348794123114,0.007240395696196611,0.0069905528538452,0.006337066471895358,0.007244329680031747,0.007002415550065422,0.0075103815199157875,0.007141260321620435,0.007389423352025748,0.007573646631360398
DAYS_BIRTH,0.006522146964356412,0.00018536285819249342,0.006353405612434582,0.006693435691706995,0.006660206296568383,0.006698673141741107,0.006239795009867266,0.006250558362491665,0.006564389653492153,0.006574189744256165,0.0064097965601046525,0.006777019570901155
OWN_CAR_AGE,0.0060077384236270955,0.00015904411903692632,0.005922045345405302,0.006081559100048706,0.006020731582383476,0.005809867164297655,0.006176456258181751,0.006161583474696863,0.005743179987466429,0.00583752772831847,0.006193931732115021,0.006130501863357285
BUREAU_CREDIT_SUM_DEBT,0.004902327974936016,0.00013198024425554748,0.005086342465523308,0.004854463769671247,0.005079518526429294,0.004955806315337652,0.004609079894807744,0.004979372040804009,0.004807309921246228,0.0049010671827476315,0.004901069727917262,0.004849249904875785
PREV_APP_AMT_ANNUITY,0.004692726028850469,0.00023990154372295955,0.004441550892012369,0.004905770316840474,0.004409902047204595,0.004570408587675878,0.004952875637364906,0.004836973024720415,0.0042532175031053665,0.004760029153696221,0.004924944606652826,0.00487158851923164
BUREAU_CREDIT_MAX_OVERDUE,0.004327693119540099,0.00013337814372601307,0.004240443975519037,0.004653639536683185,0.004267655741297949,0.004485997698035038,0.004343638725953225,0.004296583969465195,0.0043230194585114345,0.0042186244060866684,0.004240911098982503,0.004206416584866757
PREV_APP_AMT_DOWN_PAYMENT,0.004081686526510675,0.00012147226276719555,0.004086108792652476,0.003936578720341366,0.004156748787573994,0.004059773583289017,0.004029749405085603,0.004076042986180806,0.004220146078160569,0.004312923279682246,0.0040688352355087165,0.003869958396631956
BUREAU_CREDIT_SUM,0.0037627097000348607,9.754520424077814e-05,0.0038471960963744056,0.0036763283400780278,0.003790870135368163,0.0037866443054173082,0.003735445503761925,0.003677558675069803,0.003715007113040736,0.0038805376486542587,0.003924587068860785,0.003592922113723196
DAYS_ID_PUBLISH,0.0034302351094747997,8.537363127226916e-05,0.003306774293270087,0.003418675220567713,0.003452011852186354,0.003448678189024501,0.0033916056449313503,0.0032960306232907577,0.0035325814021662794,0.003553492346045961,0.0033783039098109757,0.0035241976134540165
BUREAU_CREDIT_ACTIVE,0.003156867722501633,0.000145447776929918,0.00335957180079971,0.003196625630413452,0.0032227224422228806,0.0029703093179163087,0.0032307675536982217,0.003037672322119267,0.0033017328212965324,0.003129025246724204,0.0028735882912370725,0.003246661798588679
CCB_AMT_CREDIT_LIMIT_ACTUAL,0.0029226184217345684,0.0005940907358057971,0.0020157982597570623,0.0032468075519686,0.0019529357941454606,0.002370027331278446,0.0034058857432518463,0.0035314844340620377,0.0034611820983095898,0.0025767337906030807,0.0032772235166148578,0.003388105697354704
NAME_INCOME_TYPE,0.0027121658629958856,0.00010353487075414674,0.0024460673277333367,0.002700739883946146,0.0028142261125581047,0.0027845114269796634,0.0026814693867223127,0.002702038259805861,0.002811306633331734,0.0027638792640118925,0.0027680129588227853,0.0026494073760470194
