feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2
EXT_SOURCE_3,0.008865308746862977,0.0005211850405217484,0.00889043623841701,0.008214797333505275,0.009490692668666645
EXT_SOURCE_2,0.006465322048930282,0.0005989107529483522,0.006670010535929416,0.007074748908007411,0.005651206702854017
CODE_GENDER,0.0036405787487187404,0.00013192527401274652,0.0034543786671494825,0.0037235021445400918,0.0037438554344666475
EXT_SOURCE_1,0.0021880089720592855,0.00035945922121020365,0.002199861906766465,0.0017419563540128635,0.002622208655398528
AMT_GOODS_PRICE,0.002107978005308264,0.0003394130492201443,0.0018905131503115236,0.0025872959217323466,0.0018461249438809224
AMT_CREDIT,0.0018010500227148378,0.00024248602175045857,0.0015495444655776458,0.00212868871501537,0.0017249168875514975
NAME_EDUCATION_TYPE,0.001489641453535399,3.215262792134554e-05,0.0014896672614913564,0.001450249789751723,0.0015290073093631174
AMT_ANNUITY,0.0011721802273569153,0.0004145816017540443,0.0014876866255896237,0.0014423974025365993,0.0005864566539445226
PREV_APP_CNT_PAYMENT,0.001138842064103011,0.0002600850938233387,0.0007875356521144239,0.001220133001602841,0.0014088575385917679
BUREAU_CREDIT_ACTIVE,0.0009712469034024082,0.0003689363087398237,0.0012390778791459,0.0012251083181229472,0.0004495545129383771
FLAG_EMP_PHONE,0.0008729776653593942,4.9907753719413497e-05,0.0009363887627577006,0.0008144309101479896,0.0008681133231724925
DAYS_EMPLOYED,0.0008718659135687293,5.1591606742112927e-05,0.0009409730873347621,0.0008170468454453683,0.0008575778079260576
CCB_AMT_CREDIT_LIMIT_ACTUAL,0.0006879579691467056,0.00012277983773252484,0.0007823771416475278,0.0005145497389708042,0.0007669470268217848
BUREAU_CREDIT_CLOSED,0.0005566943220595885,0.00027362956922415144,0.0005404585770732995,0.0008996435135317782,0.00022998087557368763
CNT_FAM_MEMBERS,0.0004596718109482663,0.00025791678696846627,0.0007464233315733759,0.00012107367086178211,0.000511518430409641
CNT_CHILDREN,0.0004353940296328851,0.00023258512384048322,0.000700464026952452,0.0001341961063613395,0.00047152195558486376
PREV_APP_NAME_CASH_LOAN_PURPOSE,0.00035150086998954794,9.222858135118933e-05,0.000293682338788237,0.000279158321214501,0.00048166194996590583
FLAG_WORK_PHONE,0.00031112099278825706,9.771748589217319e-05,0.00031950085165444175,0.0004263898179429626,0.00018747230876736687
PREV_APP_NAME_GOODS_CATEGORY,0.00029986718045582617,7.178361138436321e-05,0.00019836289982178013,0.0003520303681836534,0.00034920827336204496
DAYS_ID_PUBLISH,0.00027917403510702155,5.758071652134406e-05,0.0002845808815997719,0.0003468366752784613,0.00020610454844283144
NAME_FAMILY_STATUS,0.0002664058365568674,0.0001549079930594542,0.00043183207469432716,5.931285869931191e-05,0.00030807257627696316
FLAG_DOCUMENT_18,0.00025410471979403493,0.00011164572766130852,0.00010061996881549629,0.0003629247537129121,0.0002987694368536964
PREV_APP_CODE_REJECT_REASON,0.00022057540891614233,7.367990327406379e-05,0.00013649437020279986,0.0002093160556990714,0.0003159158008465557
FLAG_DOCUMENT_3,0.00021366898112743873,0.00021383549503318965,0.0002252687008622578,0.0004695703120878303,-5.383206956777187e-05
BUREAU_CREDIT_SUM_LIMIT,0.0001838967179433141,0.00020673129281117896,0.0002994639020288403,0.0003586855030500713,-0.00010645925124896927
FLAG_DOCUMENT_16,0.0001744292536944858,2.7470269664849325e-05,0.00014125583723523238,0.00020852501396884104,0.000173506909879384
OWN_CAR_AGE,0.0001647092178040932,0.0001195652058585325,0.00027383169415873265,0.00022200937396665843,-1.713414713111483e-06
OCCUPATION_TYPE,0.00016245496150257832,4.1413092266258976e-05,0.00020466520079753803,0.00017651073050395372,0.00010618895320624322
DAYS_LAST_PHONE_CHANGE,0.00015286420427266614,6.447335475926147e-05,7.435707272074321e-05,0.00023227611827769667,0.00015195942181955857
PREV_APP_NAME_YIELD_GROUP,0.00014486085579209126,6.270600866275825e-06,0.00014959069517728185,0.00014899225177678055,0.00013599962042221136
FLAG_DOCUMENT_6,0.0001414249404243506,0.0001293693983577605,0.00012945906596339984,0.0003055131439601011,-1.0697388650449113e-05
NAME_INCOME_TYPE,0.00013169994159867304,8.954225471527772e-05,0.00022859164899013962,1.264445082471699e-05,0.00015386372498116252
PREV_APP_NAME_CONTRACT_STATUS,0.00012145985099128638,0.0001480171374872106,0.00018034170917080594,0.00026598243694953005,-8.194459314647684e-05
REGION_RATING_CLIENT_W_CITY,0.00011649387256518207,8.260833064724451e-05,6.932989200514328e-07,0.00016101975113613776,0.000187768567639357
CCB_CNT_INSTALMENT_MATURE_CUM,0.00011197020909485082,0.00018603144095795797,0.0003652127676739836,-7.639813838877796e-05,4.709599799934683e-05
BUREAU_IT_CURRENCY,0.00011002839616280902,3.7991108001395915e-05,5.6311448627499594e-05,0.00013596296983997558,0.00013781077002095188
PREV_APP_RATE_DOWN_PAYMENT,0.00010674800568377663,7.643729186931153e-05,9.919213954190376e-05,1.7138728454768604e-05,0.00020391314905465752
FLAG_DOCUMENT_14,0.00010147952790055352,2.3589534224127745e-05,8.780310133527092e-05,0.0001346695097134143,8.196597265297534e-05
AMT_REQ_CREDIT_BUREAU_YEAR,9.961139512700463e-05,0.00012978997099070275,0.00021383384995177224,-8.193084917829108e-05,0.00016693118460753276
FLAG_DOCUMENT_5,9.810468365178959e-05,6.134728213457923e-05,7.113185836138403e-05,0.00018300246485858374,4.0179727735401016e-05
